row_id,term,tokenizer,token_count,fragmentation_score
933668,heparin,bert-base-uncased,3,3.0
933668,heparin,roberta-base,3,3.0
933668,heparin,clinicalbert,2,2.0
933668,subcutaneous,bert-base-uncased,3,3.0
933668,subcutaneous,roberta-base,3,3.0
933668,subcutaneous,clinicalbert,4,4.0
1201500,thrombosis,bert-base-uncased,4,4.0
1201500,thrombosis,roberta-base,4,4.0
1201500,thrombosis,clinicalbert,4,4.0
800973,intravenous,bert-base-uncased,3,3.0
800973,intravenous,roberta-base,4,4.0
800973,intravenous,clinicalbert,3,3.0
1014275,heparin,bert-base-uncased,3,3.0
1014275,heparin,roberta-base,3,3.0
1014275,heparin,clinicalbert,2,2.0
886046,heart failure,bert-base-uncased,2,1.0
886046,heart failure,roberta-base,2,1.0
886046,heart failure,clinicalbert,2,1.0
757499,subcutaneous,bert-base-uncased,3,3.0
757499,subcutaneous,roberta-base,3,3.0
757499,subcutaneous,clinicalbert,4,4.0
1141064,cardiomyopathy,bert-base-uncased,4,4.0
1141064,cardiomyopathy,roberta-base,4,4.0
1141064,cardiomyopathy,clinicalbert,5,5.0
1141064,myocardial infarction,bert-base-uncased,6,3.0
1141064,myocardial infarction,roberta-base,6,3.0
1141064,myocardial infarction,clinicalbert,7,3.5
1004546,dexamethasone,bert-base-uncased,5,5.0
1004546,dexamethasone,roberta-base,6,6.0
1004546,dexamethasone,clinicalbert,5,5.0
1004546,intravenous,bert-base-uncased,3,3.0
1004546,intravenous,roberta-base,4,4.0
1004546,intravenous,clinicalbert,3,3.0
1217022,myocardial infarction,bert-base-uncased,6,3.0
1217022,myocardial infarction,roberta-base,6,3.0
1217022,myocardial infarction,clinicalbert,7,3.5
1217022,intraperitoneal,bert-base-uncased,5,5.0
1217022,intraperitoneal,roberta-base,4,4.0
1217022,intraperitoneal,clinicalbert,4,4.0
943742,intravenous,bert-base-uncased,3,3.0
943742,intravenous,roberta-base,4,4.0
943742,intravenous,clinicalbert,3,3.0
1049770,intravenous,bert-base-uncased,3,3.0
1049770,intravenous,roberta-base,4,4.0
1049770,intravenous,clinicalbert,3,3.0
952381,intraperitoneal,bert-base-uncased,5,5.0
952381,intraperitoneal,roberta-base,4,4.0
952381,intraperitoneal,clinicalbert,4,4.0
1095263,intravenous,bert-base-uncased,3,3.0
1095263,intravenous,roberta-base,4,4.0
1095263,intravenous,clinicalbert,3,3.0
1092367,intravenous,bert-base-uncased,3,3.0
1092367,intravenous,roberta-base,4,4.0
1092367,intravenous,clinicalbert,3,3.0
1092367,intraperitoneal,bert-base-uncased,5,5.0
1092367,intraperitoneal,roberta-base,4,4.0
1092367,intraperitoneal,clinicalbert,4,4.0
1205066,intravenous,bert-base-uncased,3,3.0
1205066,intravenous,roberta-base,4,4.0
1205066,intravenous,clinicalbert,3,3.0
905736,encephalopathy,bert-base-uncased,5,5.0
905736,encephalopathy,roberta-base,3,3.0
905736,encephalopathy,clinicalbert,6,6.0
820869,intravenous,bert-base-uncased,3,3.0
820869,intravenous,roberta-base,4,4.0
820869,intravenous,clinicalbert,3,3.0
860569,subcutaneous,bert-base-uncased,3,3.0
860569,subcutaneous,roberta-base,3,3.0
860569,subcutaneous,clinicalbert,4,4.0
1069239,intravenous,bert-base-uncased,3,3.0
1069239,intravenous,roberta-base,4,4.0
1069239,intravenous,clinicalbert,3,3.0
884626,intravenous,bert-base-uncased,3,3.0
884626,intravenous,roberta-base,4,4.0
884626,intravenous,clinicalbert,3,3.0
1258133,hypoglycemia,bert-base-uncased,6,6.0
1258133,hypoglycemia,roberta-base,4,4.0
1258133,hypoglycemia,clinicalbert,5,5.0
1258133,creatinine,bert-base-uncased,4,4.0
1258133,creatinine,roberta-base,3,3.0
1258133,creatinine,clinicalbert,3,3.0
826285,tachycardia,bert-base-uncased,4,4.0
826285,tachycardia,roberta-base,4,4.0
826285,tachycardia,clinicalbert,4,4.0
826285,heart failure,bert-base-uncased,2,1.0
826285,heart failure,roberta-base,2,1.0
826285,heart failure,clinicalbert,2,1.0
826285,subcutaneous,bert-base-uncased,3,3.0
826285,subcutaneous,roberta-base,3,3.0
826285,subcutaneous,clinicalbert,4,4.0
1028193,myocardial infarction,bert-base-uncased,6,3.0
1028193,myocardial infarction,roberta-base,6,3.0
1028193,myocardial infarction,clinicalbert,7,3.5
1101593,subcutaneous,bert-base-uncased,3,3.0
1101593,subcutaneous,roberta-base,3,3.0
1101593,subcutaneous,clinicalbert,4,4.0
971024,subcutaneous,bert-base-uncased,3,3.0
971024,subcutaneous,roberta-base,3,3.0
971024,subcutaneous,clinicalbert,4,4.0
1125589,intravenous,bert-base-uncased,3,3.0
1125589,intravenous,roberta-base,4,4.0
1125589,intravenous,clinicalbert,3,3.0
924822,intravenous,bert-base-uncased,3,3.0
924822,intravenous,roberta-base,4,4.0
924822,intravenous,clinicalbert,3,3.0
796526,subcutaneous,bert-base-uncased,3,3.0
796526,subcutaneous,roberta-base,3,3.0
796526,subcutaneous,clinicalbert,4,4.0
921588,differentiation,bert-base-uncased,1,1.0
921588,differentiation,roberta-base,2,2.0
921588,differentiation,clinicalbert,2,2.0
740508,subcutaneous,bert-base-uncased,3,3.0
740508,subcutaneous,roberta-base,3,3.0
740508,subcutaneous,clinicalbert,4,4.0
