nct_id,intervention_type,term,tokenizer,token_count,fragmentation_score
NCT03535168,DRUG,pharmacokinetics,bert-base-uncased,6,6.0
NCT03535168,DRUG,pharmacokinetics,roberta-base,4,4.0
NCT03535168,DRUG,pharmacokinetics,clinicalbert,5,5.0
NCT00006450,DRUG,chemotherapy,bert-base-uncased,1,1.0
NCT00006450,DRUG,chemotherapy,roberta-base,3,3.0
NCT00006450,DRUG,chemotherapy,clinicalbert,4,4.0
NCT02172274,DRUG,pharmacokinetics,bert-base-uncased,6,6.0
NCT02172274,DRUG,pharmacokinetics,roberta-base,4,4.0
NCT02172274,DRUG,pharmacokinetics,clinicalbert,5,5.0
NCT02372097,DRUG,bioequivalence,bert-base-uncased,5,5.0
NCT02372097,DRUG,bioequivalence,roberta-base,5,5.0
NCT02372097,DRUG,bioequivalence,clinicalbert,4,4.0
NCT05497297,DRUG,pharmacokinetics,bert-base-uncased,6,6.0
NCT05497297,DRUG,pharmacokinetics,roberta-base,4,4.0
NCT05497297,DRUG,pharmacokinetics,clinicalbert,5,5.0
NCT05497297,DRUG,pharmacodynamics,bert-base-uncased,6,6.0
NCT05497297,DRUG,pharmacodynamics,roberta-base,3,3.0
NCT05497297,DRUG,pharmacodynamics,clinicalbert,6,6.0
NCT05925920,DRUG,pharmacokinetics,bert-base-uncased,6,6.0
NCT05925920,DRUG,pharmacokinetics,roberta-base,4,4.0
NCT05925920,DRUG,pharmacokinetics,clinicalbert,5,5.0
NCT05925920,DRUG,pharmacodynamics,bert-base-uncased,6,6.0
NCT05925920,DRUG,pharmacodynamics,roberta-base,3,3.0
NCT05925920,DRUG,pharmacodynamics,clinicalbert,6,6.0
NCT05925920,DRUG,type 2 diabetes,bert-base-uncased,3,1.0
NCT05925920,DRUG,type 2 diabetes,roberta-base,3,1.0
NCT05925920,DRUG,type 2 diabetes,clinicalbert,3,1.0
NCT01788020,DRUG,dexamethasone,bert-base-uncased,5,5.0
NCT01788020,DRUG,dexamethasone,roberta-base,6,6.0
NCT01788020,DRUG,dexamethasone,clinicalbert,5,5.0
NCT01788020,DRUG,cyclophosphamide,bert-base-uncased,6,6.0
NCT01788020,DRUG,cyclophosphamide,roberta-base,4,4.0
NCT01788020,DRUG,cyclophosphamide,clinicalbert,7,7.0
NCT01788020,DRUG,bortezomib,bert-base-uncased,5,5.0
NCT01788020,DRUG,bortezomib,roberta-base,5,5.0
NCT01788020,DRUG,bortezomib,clinicalbert,4,4.0
NCT01788020,DRUG,rituximab,bert-base-uncased,5,5.0
NCT01788020,DRUG,rituximab,roberta-base,4,4.0
NCT01788020,DRUG,rituximab,clinicalbert,4,4.0
NCT01788020,DRUG,chemotherapy,bert-base-uncased,1,1.0
NCT01788020,DRUG,chemotherapy,roberta-base,3,3.0
NCT01788020,DRUG,chemotherapy,clinicalbert,4,4.0
NCT06869382,DRUG,myocardial infarction,bert-base-uncased,6,3.0
NCT06869382,DRUG,myocardial infarction,roberta-base,6,3.0
NCT06869382,DRUG,myocardial infarction,clinicalbert,7,3.5
NCT06869382,DRUG,heart failure,bert-base-uncased,2,1.0
NCT06869382,DRUG,heart failure,roberta-base,2,1.0
NCT06869382,DRUG,heart failure,clinicalbert,2,1.0
NCT06869382,DRUG,immunoglobulin,bert-base-uncased,6,6.0
NCT06869382,DRUG,immunoglobulin,roberta-base,5,5.0
NCT06869382,DRUG,immunoglobulin,clinicalbert,5,5.0
NCT06869382,DRUG,hemoglobin,bert-base-uncased,4,4.0
NCT06869382,DRUG,hemoglobin,roberta-base,2,2.0
NCT06869382,DRUG,hemoglobin,clinicalbert,4,4.0
NCT03227224,DRUG,dose-response,bert-base-uncased,3,3.0
NCT03227224,DRUG,dose-response,roberta-base,3,3.0
NCT03227224,DRUG,dose-response,clinicalbert,3,3.0
NCT04916080,DRUG,intravenous,bert-base-uncased,3,3.0
NCT04916080,DRUG,intravenous,roberta-base,4,4.0
NCT04916080,DRUG,intravenous,clinicalbert,3,3.0
NCT00498979,DRUG,chemotherapy,bert-base-uncased,1,1.0
NCT00498979,DRUG,chemotherapy,roberta-base,3,3.0
NCT00498979,DRUG,chemotherapy,clinicalbert,4,4.0
NCT00498979,DRUG,interferon,bert-base-uncased,3,3.0
NCT00498979,DRUG,interferon,roberta-base,3,3.0
NCT00498979,DRUG,interferon,clinicalbert,3,3.0
NCT00046462,DRUG,metformin,bert-base-uncased,3,3.0
NCT00046462,DRUG,metformin,roberta-base,3,3.0
NCT00046462,DRUG,metformin,clinicalbert,3,3.0
NCT03324503,DRUG,prednisone,bert-base-uncased,4,4.0
NCT03324503,DRUG,prednisone,roberta-base,3,3.0
NCT03324503,DRUG,prednisone,clinicalbert,3,3.0
NCT03324503,DRUG,prednisolone,bert-base-uncased,5,5.0
NCT03324503,DRUG,prednisolone,roberta-base,4,4.0
NCT03324503,DRUG,prednisolone,clinicalbert,4,4.0
NCT04107103,DRUG,nivolumab,bert-base-uncased,4,4.0
NCT04107103,DRUG,nivolumab,roberta-base,5,5.0
NCT04107103,DRUG,nivolumab,clinicalbert,4,4.0
NCT01774903,DRUG,transdermal,bert-base-uncased,3,3.0
NCT01774903,DRUG,transdermal,roberta-base,3,3.0
NCT01774903,DRUG,transdermal,clinicalbert,3,3.0
NCT05086627,DRUG,radiotherapy,bert-base-uncased,2,2.0
NCT05086627,DRUG,radiotherapy,roberta-base,3,3.0
NCT05086627,DRUG,radiotherapy,clinicalbert,4,4.0
NCT05086627,DRUG,randomized controlled,bert-base-uncased,3,1.5
NCT05086627,DRUG,randomized controlled,roberta-base,3,1.5
NCT05086627,DRUG,randomized controlled,clinicalbert,3,1.5
NCT01471470,DRUG,bevacizumab,bert-base-uncased,5,5.0
NCT01471470,DRUG,bevacizumab,roberta-base,6,6.0
NCT01471470,DRUG,bevacizumab,clinicalbert,5,5.0
NCT00433069,DRUG,interferon,bert-base-uncased,3,3.0
NCT00433069,DRUG,interferon,roberta-base,3,3.0
NCT00433069,DRUG,interferon,clinicalbert,3,3.0
NCT03520569,DRUG,hyperglycemia,bert-base-uncased,4,4.0
NCT03520569,DRUG,hyperglycemia,roberta-base,4,4.0
NCT03520569,DRUG,hyperglycemia,clinicalbert,5,5.0
NCT00511069,DRUG,imatinib,bert-base-uncased,3,3.0
NCT00511069,DRUG,imatinib,roberta-base,3,3.0
NCT00511069,DRUG,imatinib,clinicalbert,3,3.0
NCT00511069,DRUG,chemotherapy,bert-base-uncased,1,1.0
NCT00511069,DRUG,chemotherapy,roberta-base,3,3.0
NCT00511069,DRUG,chemotherapy,clinicalbert,4,4.0
NCT00511069,DRUG,apoptosis,bert-base-uncased,3,3.0
NCT00511069,DRUG,apoptosis,roberta-base,3,3.0
NCT00511069,DRUG,apoptosis,clinicalbert,3,3.0
NCT00511069,DRUG,proliferation,bert-base-uncased,1,1.0
NCT00511069,DRUG,proliferation,roberta-base,3,3.0
NCT00511069,DRUG,proliferation,clinicalbert,3,3.0
NCT00511069,DRUG,interferon,bert-base-uncased,3,3.0
NCT00511069,DRUG,interferon,roberta-base,3,3.0
NCT00511069,DRUG,interferon,clinicalbert,3,3.0
NCT06714669,DRUG,randomized controlled,bert-base-uncased,3,1.5
NCT06714669,DRUG,randomized controlled,roberta-base,3,1.5
NCT06714669,DRUG,randomized controlled,clinicalbert,3,1.5
NCT02169583,DRUG,pharmacokinetics,bert-base-uncased,6,6.0
NCT02169583,DRUG,pharmacokinetics,roberta-base,4,4.0
NCT02169583,DRUG,pharmacokinetics,clinicalbert,5,5.0
NCT02169583,DRUG,bioavailability,bert-base-uncased,4,4.0
NCT02169583,DRUG,bioavailability,roberta-base,3,3.0
NCT02169583,DRUG,bioavailability,clinicalbert,4,4.0
NCT02169583,DRUG,intravenous,bert-base-uncased,3,3.0
NCT02169583,DRUG,intravenous,roberta-base,4,4.0
NCT02169583,DRUG,intravenous,clinicalbert,3,3.0
NCT03753776,DRUG,radiotherapy,bert-base-uncased,2,2.0
NCT03753776,DRUG,radiotherapy,roberta-base,3,3.0
NCT03753776,DRUG,radiotherapy,clinicalbert,4,4.0
NCT03760276,DRUG,pharmacokinetics,bert-base-uncased,6,6.0
NCT03760276,DRUG,pharmacokinetics,roberta-base,4,4.0
NCT03760276,DRUG,pharmacokinetics,clinicalbert,5,5.0
NCT00551291,DRUG,prednisone,bert-base-uncased,4,4.0
NCT00551291,DRUG,prednisone,roberta-base,3,3.0
NCT00551291,DRUG,prednisone,clinicalbert,3,3.0
NCT00134550,DRUG,atorvastatin,bert-base-uncased,5,5.0
NCT00134550,DRUG,atorvastatin,roberta-base,4,4.0
NCT00134550,DRUG,atorvastatin,clinicalbert,4,4.0
NCT01099618,DRUG,metformin,bert-base-uncased,3,3.0
NCT01099618,DRUG,metformin,roberta-base,3,3.0
NCT01099618,DRUG,metformin,clinicalbert,3,3.0
NCT06856590,DRUG,overall survival,bert-base-uncased,2,1.0
NCT06856590,DRUG,overall survival,roberta-base,3,1.5
NCT06856590,DRUG,overall survival,clinicalbert,2,1.0
NCT06856590,DRUG,transdermal,bert-base-uncased,3,3.0
NCT06856590,DRUG,transdermal,roberta-base,3,3.0
NCT06856590,DRUG,transdermal,clinicalbert,3,3.0
NCT01000597,DRUG,intravenous,bert-base-uncased,3,3.0
NCT01000597,DRUG,intravenous,roberta-base,4,4.0
NCT01000597,DRUG,intravenous,clinicalbert,3,3.0
NCT03421860,DRUG,intravenous,bert-base-uncased,3,3.0
NCT03421860,DRUG,intravenous,roberta-base,4,4.0
NCT03421860,DRUG,intravenous,clinicalbert,3,3.0
NCT00789620,DRUG,intravenous,bert-base-uncased,3,3.0
NCT00789620,DRUG,intravenous,roberta-base,4,4.0
NCT00789620,DRUG,intravenous,clinicalbert,3,3.0
NCT03662620,DRUG,pharmacokinetics,bert-base-uncased,6,6.0
NCT03662620,DRUG,pharmacokinetics,roberta-base,4,4.0
NCT03662620,DRUG,pharmacokinetics,clinicalbert,5,5.0
NCT01963260,DRUG,pharmacodynamics,bert-base-uncased,6,6.0
NCT01963260,DRUG,pharmacodynamics,roberta-base,3,3.0
NCT01963260,DRUG,pharmacodynamics,clinicalbert,6,6.0
NCT01963260,DRUG,thrombocytopenia,bert-base-uncased,6,6.0
NCT01963260,DRUG,thrombocytopenia,roberta-base,7,7.0
NCT01963260,DRUG,thrombocytopenia,clinicalbert,6,6.0
NCT02860260,BIOLOGICAL,intravenous,bert-base-uncased,3,3.0
NCT02860260,BIOLOGICAL,intravenous,roberta-base,4,4.0
NCT02860260,BIOLOGICAL,intravenous,clinicalbert,3,3.0
NCT00644124,DRUG,prednisone,bert-base-uncased,4,4.0
NCT00644124,DRUG,prednisone,roberta-base,3,3.0
NCT00644124,DRUG,prednisone,clinicalbert,3,3.0
NCT00644124,DRUG,cyclophosphamide,bert-base-uncased,6,6.0
NCT00644124,DRUG,cyclophosphamide,roberta-base,4,4.0
NCT00644124,DRUG,cyclophosphamide,clinicalbert,7,7.0
NCT00644124,DRUG,methotrexate,bert-base-uncased,5,5.0
NCT00644124,DRUG,methotrexate,roberta-base,5,5.0
NCT00644124,DRUG,methotrexate,clinicalbert,5,5.0
NCT00644124,DRUG,rituximab,bert-base-uncased,5,5.0
NCT00644124,DRUG,rituximab,roberta-base,4,4.0
NCT00644124,DRUG,rituximab,clinicalbert,4,4.0
NCT00644124,DRUG,intrathecal,bert-base-uncased,3,3.0
NCT00644124,DRUG,intrathecal,roberta-base,4,4.0
NCT00644124,DRUG,intrathecal,clinicalbert,3,3.0
NCT00797823,DRUG,subcutaneous,bert-base-uncased,3,3.0
NCT00797823,DRUG,subcutaneous,roberta-base,3,3.0
NCT00797823,DRUG,subcutaneous,clinicalbert,4,4.0
NCT02439359,DRUG,intravenous,bert-base-uncased,3,3.0
NCT02439359,DRUG,intravenous,roberta-base,4,4.0
NCT02439359,DRUG,intravenous,clinicalbert,3,3.0
NCT02139280,DRUG,cyclophosphamide,bert-base-uncased,6,6.0
NCT02139280,DRUG,cyclophosphamide,roberta-base,4,4.0
NCT02139280,DRUG,cyclophosphamide,clinicalbert,7,7.0
NCT00546780,DRUG,bortezomib,bert-base-uncased,5,5.0
NCT00546780,DRUG,bortezomib,roberta-base,5,5.0
NCT00546780,DRUG,bortezomib,clinicalbert,4,4.0
NCT00305396,DRUG,prednisone,bert-base-uncased,4,4.0
NCT00305396,DRUG,prednisone,roberta-base,3,3.0
NCT00305396,DRUG,prednisone,clinicalbert,3,3.0
NCT00305396,DRUG,tacrolimus,bert-base-uncased,4,4.0
NCT00305396,DRUG,tacrolimus,roberta-base,5,5.0
NCT00305396,DRUG,tacrolimus,clinicalbert,4,4.0
NCT00305396,DRUG,mycophenolate,bert-base-uncased,5,5.0
NCT00305396,DRUG,mycophenolate,roberta-base,4,4.0
NCT00305396,DRUG,mycophenolate,clinicalbert,5,5.0
NCT00305396,DRUG,sirolimus,bert-base-uncased,3,3.0
